timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
520000,732.7,4,3294.6188053307706,236340.41971830506,0.0,0.4805,0.4765,0.011,0.01025,0.02175,952.25,0.0
524000,737.1,0,nan,nan,0.0,0.48525,0.4735,0.01075,0.0105,0.02,955.0,0.0
528000,742.5,4,3488.573256015661,249891.6713923611,0.00025,0.47,0.49375,0.0085,0.0095,0.018,962.25,0.0
532000,748.0,0,nan,nan,0.00025,0.48025,0.48525,0.0085,0.009,0.01675,964.25,0.0
536000,753.9,4,3497.032768917852,250611.61237538836,0.0,0.48275,0.47475,0.01025,0.01075,0.0215,954.25,0.0
540000,759.3,0,nan,nan,0.0,0.63575,0.34175,0.0055,0.00625,0.01075,972.25,0.0
544000,765.6,4,2951.5609369555605,212384.69169126597,0.0,0.4545,0.50575,0.01,0.0095,0.02025,959.0,0.0
548000,772.1,0,nan,nan,0.0,0.478,0.47825,0.0105,0.011,0.02225,956.0,0.0
552000,778.2,4,3547.032810326724,253914.87251049856,0.0,0.4825,0.473,0.01125,0.01,0.02325,953.75,0.0
556000,784.6,0,nan,nan,0.0,0.4835,0.4745,0.0115,0.00975,0.02075,956.25,0.0
560000,791.4,4,3347.102602542145,239983.16685871268,0.0,0.538,0.426,0.009,0.009,0.018,962.25,0.0
564000,798.2,0,nan,nan,0.0,0.472,0.4775,0.0125,0.01325,0.02475,949.25,0.0
568000,804.8,4,3462.815628766082,249790.9336110282,0.00025,0.4725,0.483,0.01075,0.011,0.0225,953.0,0.0
572000,811.4,0,nan,nan,0.0,0.446,0.4885,0.01875,0.0135,0.03325,920.75,0.0
576000,817.8,4,3275.6679028785147,234936.61467873526,0.00025,0.4685,0.4765,0.015,0.01175,0.028,940.0,0.0
580000,824.0,0,nan,nan,0.0,0.4735,0.479,0.01175,0.01225,0.0235,952.0,0.0
584000,830.3,4,3519.4643932349863,251931.6530846738,0.0,0.47175,0.485,0.011,0.0105,0.02175,956.0,0.0
588000,836.7,0,nan,nan,0.0,0.4325,0.527,0.01075,0.00975,0.02,959.25,0.0
592000,843.0,4,3371.889619692927,241651.11783299787,0.0,0.4755,0.47125,0.01375,0.01275,0.02675,946.5,0.0
596000,848.8,0,nan,nan,0.0,0.46675,0.48125,0.014,0.01175,0.02625,946.25,0.0
600000,853.6,4,3442.7117269653245,246365.4722695107,0.0,0.476,0.47475,0.012,0.013,0.02425,949.25,0.0
604000,858.2,0,nan,nan,0.0,0.375,0.5935,0.00925,0.00725,0.015,966.25,0.0
608000,863.0,4,3034.627235107182,218115.47799171112,0.0,0.50475,0.45525,0.01075,0.0095,0.01975,958.25,0.25
612000,867.6,0,nan,nan,0.0,0.471,0.49225,0.00975,0.009,0.018,962.75,0.0
616000,872.1,4,3499.226924530056,250665.40581166768,0.0,0.48575,0.47575,0.01,0.00925,0.01925,960.25,0.0
620000,876.5,0,nan,nan,0.0,0.46425,0.49175,0.01125,0.01125,0.0215,954.5,0.0
624000,881.3,4,3486.1845824564225,249672.8549169883,0.0,0.49175,0.471,0.00925,0.0095,0.0185,958.75,0.25
628000,885.8,0,nan,nan,0.0,0.42825,0.534,0.01,0.00925,0.0185,956.0,0.0
632000,890.5,4,2626.983564689115,189651.03345215443,0.0,0.31625,0.65725,0.00675,0.0065,0.01325,961.0,0.0
636000,895.2,0,nan,nan,0.0,0.453,0.496,0.01275,0.01325,0.025,948.25,0.0
640000,900.0,4,3450.4620323389827,247245.5743323689,0.0,0.46625,0.4805,0.01225,0.014,0.027,946.0,0.0
644000,904.3,0,nan,nan,0.0,0.462,0.49,0.01225,0.01225,0.0235,952.0,0.0
648000,908.8,4,3448.1111900441465,246775.1217175544,0.0,0.47375,0.4725,0.0125,0.01475,0.0265,946.25,0.0
652000,913.4,0,nan,nan,0.00025,0.4585,0.50175,0.01025,0.01,0.01925,958.25,0.0
656000,917.7,4,3475.6195241716814,295495.3749370362,0.00025,0.479,0.46675,0.0165,0.012,0.0255,944.5,0.0
660000,922.5,0,nan,nan,0.0,0.46575,0.4765,0.01625,0.0135,0.028,942.25,0.0
664000,926.9,4,3350.017414632719,239647.4299430242,0.0,0.48975,0.46575,0.012,0.01075,0.02175,953.5,0.0
668000,931.8,0,nan,nan,0.00025,0.48825,0.46475,0.0125,0.01175,0.0225,952.5,0.0
672000,936.5,4,3422.866849450802,244961.86408285948,0.0,0.46075,0.4955,0.011,0.011,0.02175,955.25,0.0
676000,941.2,0,nan,nan,0.00025,0.47825,0.479,0.01075,0.011,0.02075,957.0,0.0
680000,945.7,4,1843.7469092429383,134476.47860748484,0.0,0.056,0.93975,0.00125,0.001,0.002,962.0,0.25
684000,950.3,0,nan,nan,0.00025,0.157,0.8335,0.00275,0.0025,0.004,920.25,0.0
688000,954.9,4,587.0235289840493,46373.40388441202,0.0,0.122,0.86575,0.003,0.003,0.00625,984.5,0.0
692000,959.3,0,nan,nan,0.0,0.19675,0.785,0.00525,0.00475,0.00825,979.75,0.75
696000,964.1,4,2409.25132843561,174475.6187968729,0.0,0.45075,0.50275,0.01,0.0135,0.023,952.5,0.25
700000,968.7,0,nan,nan,0.0,0.474,0.48125,0.01125,0.01175,0.02175,954.75,0.0
704000,973.2,4,3429.8657919210964,245796.55367517623,0.0,0.464,0.4975,0.00925,0.01,0.01925,960.0,0.0
708000,977.6,0,nan,nan,0.0,0.45775,0.5075,0.00925,0.00875,0.01675,962.0,0.25
712000,982.2,4,3425.011573820084,245592.66181152308,0.0,0.47775,0.4795,0.00975,0.01125,0.02175,952.75,0.0
716000,986.6,0,nan,nan,0.0,0.4755,0.4825,0.00975,0.0115,0.02075,958.0,0.0
720000,991.1,4,3419.550784000894,245060.7624984653,0.0,0.46975,0.493,0.0095,0.009,0.01875,961.25,0.0
724000,995.5,0,nan,nan,0.0,0.47325,0.48675,0.01025,0.01025,0.0195,959.25,0.0
728000,999.7,4,3416.9777598485234,244846.90877078898,0.0,0.4815,0.482,0.009,0.009,0.0185,957.75,0.0
732000,1004.8,0,nan,nan,0.00025,0.4835,0.475,0.01,0.011,0.02025,958.25,0.0
736000,1009.4,4,3561.882300860947,255042.70685538437,0.0,0.48125,0.482,0.00925,0.009,0.0185,961.75,0.0
740000,1013.9,0,nan,nan,0.00025,0.50525,0.4575,0.00975,0.009,0.01825,953.5,0.25
