timesteps,wall_s,reward_per_step,positive_rate,flag_rate,precision,recall,fpr
75776,396.9,-0.0302734375,0.0498046875,0.033203125,0.6470588235294118,0.43137254901960786,0.012332990750256937
77824,408.2,0.0068359375,0.1318359375,0.0869140625,0.898876404494382,0.5925925925925926,0.010123734533183352
79872,419.3,-0.04833984375,0.03759765625,0.00537109375,0.0,0.0,0.005580923389142567
81920,429.7,-0.033203125,0.1181640625,0.04345703125,0.9887640449438202,0.36363636363636365,0.0005537098560354374
83968,440.5,0.04248046875,0.18212890625,0.142578125,0.8938356164383562,0.6997319034852547,0.018507462686567163
86016,451.0,0.02587890625,0.05322265625,0.04443359375,0.945054945054945,0.7889908256880734,0.0025786487880350697
88064,461.7,-0.029296875,0.0224609375,0.00341796875,0.0,0.0,0.0034965034965034965
90112,472.8,0.0087890625,0.1845703125,0.107421875,0.95,0.5529100529100529,0.006586826347305389
92160,483.3,-0.0146484375,0.087890625,0.05029296875,0.8640776699029126,0.49444444444444446,0.007494646680942184
94208,494.7,-0.005859375,0.1484375,0.087890625,0.9055555555555556,0.5361842105263158,0.00974770642201835
96256,505.5,-0.017578125,0.1064453125,0.05517578125,0.9026548672566371,0.46788990825688076,0.006010928961748634
98304,516.5,0.01611328125,0.03955078125,0.02880859375,0.9830508474576272,0.7160493827160493,0.0005083884087442806
100352,527.2,0.0283203125,0.3642578125,0.21484375,0.9568181818181818,0.564343163538874,0.014592933947772658
102400,538.6,0.02099609375,0.03564453125,0.029296875,0.9833333333333333,0.8082191780821918,0.0005063291139240507
104448,550.1,-0.04345703125,0.20556640625,0.111328125,0.8640350877192983,0.4679334916864608,0.019053472649047325
106496,560.0,-0.03759765625,0.09912109375,0.04248046875,0.8620689655172413,0.3694581280788177,0.0065040650406504065
108544,568.6,-0.0283203125,0.0673828125,0.037109375,0.7631578947368421,0.42028985507246375,0.009424083769633508
110592,576.7,-0.04052734375,0.22802734375,0.1083984375,0.9324324324324325,0.44325481798715205,0.009487666034155597
112640,585.3,-0.10302734375,0.20263671875,0.0634765625,0.8923076923076924,0.27951807228915665,0.008573178199632579
114688,592.8,-0.0478515625,0.07421875,0.01513671875,0.9354838709677419,0.19078947368421054,0.0010548523206751054
116736,601.8,-0.01953125,0.0869140625,0.04345703125,0.8876404494382022,0.4438202247191011,0.0053475935828877
118784,609.8,-0.03076171875,0.25732421875,0.1181640625,0.9793388429752066,0.4497153700189753,0.003287310979618672
120832,618.0,0.0458984375,0.244140625,0.15966796875,0.9541284403669725,0.624,0.009689922480620155
122880,626.1,0.06201171875,0.23095703125,0.1572265625,0.9658385093167702,0.6575052854122622,0.006984126984126984
124928,634.2,-0.03173828125,0.21826171875,0.09814453125,0.9751243781094527,0.43847874720357943,0.003123048094940662
126976,642.6,0.04296875,0.1357421875,0.09228515625,0.9841269841269841,0.6690647482014388,0.001694915254237288
129024,650.7,-0.03271484375,0.29150390625,0.13916015625,0.9649122807017544,0.46063651591289784,0.006891798759476223
131072,659.0,0.037109375,0.0751953125,0.06298828125,0.9457364341085271,0.7922077922077922,0.003695881731784583
133120,667.2,0.03076171875,0.05224609375,0.04931640625,0.9207920792079208,0.8691588785046729,0.004121586810922205
135168,675.9,0.0634765625,0.1552734375,0.130859375,0.917910447761194,0.7735849056603774,0.012716763005780347
137216,684.4,-0.04833984375,0.12158203125,0.04736328125,0.8865979381443299,0.3453815261044177,0.006114508060033352
139264,693.4,-0.00146484375,0.06005859375,0.044921875,0.8260869565217391,0.6178861788617886,0.008311688311688312
141312,702.8,-0.01220703125,0.08935546875,0.03955078125,0.9876543209876543,0.4371584699453552,0.0005361930294906167
143360,711.6,-0.01806640625,0.09716796875,0.04150390625,0.9764705882352941,0.41708542713567837,0.001081665765278529
145408,722.4,-0.0654296875,0.12890625,0.03466796875,0.9577464788732394,0.25757575757575757,0.0016816143497757848
147456,739.8,-0.0087890625,0.1171875,0.05517578125,0.9911504424778761,0.4666666666666667,0.0005530973451327434
149504,758.5,-0.01318359375,0.16357421875,0.076171875,0.9935897435897436,0.4626865671641791,0.0005837711617046118
151552,776.1,-0.03271484375,0.06201171875,0.0146484375,1.0,0.23622047244094488,0.0
153600,794.9,-0.0234375,0.064453125,0.0205078125,1.0,0.3181818181818182,0.0
155648,813.2,-0.00439453125,0.19189453125,0.0947265625,0.9948453608247423,0.4910941475826972,0.0006042296072507553
157696,831.8,-0.00048828125,0.20263671875,0.10498046875,0.9813953488372092,0.5084337349397591,0.002449479485609308
159744,850.3,-0.01220703125,0.06396484375,0.02880859375,0.9491525423728814,0.42748091603053434,0.001564945226917058
161792,868.7,-0.0439453125,0.2705078125,0.1162109375,0.9873949579831933,0.42418772563176893,0.002008032128514056
